2.235019084811210727e-02,2.658465253189206193e-02,8.328141882084310168e-04,8.981137443333864212e-02,2.791624428629875254e-01
2.298021438717842355e-02,4.205704860389232469e-02,0.000000000000000000e+00,1.555733712762594201e-01,3.724572980403900169e-01
2.163053673505783286e-02,4.140903037041425427e-02,0.000000000000000000e+00,1.445556358247995499e-01,2.969305965304374628e-01
1.048625895380973956e-02,3.878855869174003407e-02,1.027281480375677285e-03,1.442694872617721613e-01,3.078054307103156861e-01
1.782375278323888868e-02,4.274274151772260860e-02,3.429145175032317396e-03,1.398331551253795546e-01,3.280616536736488120e-01
2.099196901917457780e-02,4.255779374390840364e-02,6.121086386963724493e-03,1.492208649963140676e-01,2.993777403235435286e-01
2.259366287291050129e-02,3.606368847191333826e-02,1.540859457850456138e-02,1.529939302057027883e-01,3.238616739511489540e-01
2.622890782356262357e-02,4.007132265716790986e-02,2.155468319356441259e-02,1.415966630727052700e-01,3.003768649101257182e-01
2.096078740060329515e-02,2.958896618336439091e-02,2.370531537383794782e-02,1.228852848708629625e-01,2.985502568483352492e-01
2.490889419615268871e-02,7.025999777019023562e-02,1.530511059612035644e-02,8.015839051455259101e-02,3.123895342946052534e-01
2.720749984681606476e-02,1.202739851176738706e-01,1.374994702264666427e-02,2.093770728260278824e-01,1.730159874260425446e-01
