Timestamp,Actual,Prediction
2024-08-25 23:00:00+00:00,0.375,0.374969891
2024-08-25 23:00:10+00:00,0.375,0.374939734
2024-08-25 23:00:20+00:00,0.375,0.374909651
2024-08-25 23:00:30+00:00,0.375,0.374879633
2024-08-25 23:00:40+00:00,0.375,0.374849671
2024-08-25 23:00:50+00:00,0.375,0.374819759
2024-08-25 23:01:00+00:00,0.375,0.37478989
2024-08-25 23:01:10+00:00,0.375,0.374760059
2024-08-25 23:01:20+00:00,0.375,0.374730263
2024-08-25 23:01:30+00:00,0.375,0.374700496
2024-08-25 23:01:40+00:00,0.375,0.374670755
2024-08-25 23:01:50+00:00,0.375,0.374641038
2024-08-25 23:02:00+00:00,0.375,0.374611343
2024-08-25 23:02:10+00:00,0.375,0.374581666
2024-08-25 23:02:20+00:00,0.375,0.374552006
2024-08-25 23:02:30+00:00,0.375,0.374522362
2024-08-25 23:02:40+00:00,0.375,0.374492732
2024-08-25 23:02:50+00:00,0.375,0.374463116
2024-08-25 23:03:00+00:00,0.375,0.374433511
2024-08-25 23:03:10+00:00,0.375,0.374403917
2024-08-25 23:03:20+00:00,0.375,0.374374334
2024-08-25 23:03:30+00:00,0.375,0.37434476
2024-08-25 23:03:40+00:00,0.375,0.374315196
2024-08-25 23:03:50+00:00,0.375,0.37428564
2024-08-25 23:04:00+00:00,0.375,0.374256092
2024-08-25 23:04:10+00:00,0.375,0.374226552
2024-08-25 23:04:20+00:00,0.375,0.37419702
2024-08-25 23:04:30+00:00,0.375,0.374167495
2024-08-25 23:04:40+00:00,0.375,0.374137977
2024-08-25 23:04:50+00:00,0.375,0.374108466
2024-08-25 23:05:00+00:00,0.375,0.374078962
2024-08-25 23:05:10+00:00,0.375,0.374049464
2024-08-25 23:05:20+00:00,0.375,0.374019973
2024-08-25 23:05:30+00:00,0.375,0.373990488
2024-08-25 23:05:40+00:00,0.375,0.373961009
2024-08-25 23:05:50+00:00,0.375,0.373931536
2024-08-25 23:06:00+00:00,0.375,0.37390207
2024-08-25 23:06:10+00:00,0.375,0.373872609
2024-08-25 23:06:20+00:00,0.375,0.373843154
2024-08-25 23:06:30+00:00,0.375,0.373813705
2024-08-25 23:06:40+00:00,0.375,0.373784262
2024-08-25 23:06:50+00:00,0.375,0.373754825
2024-08-25 23:07:00+00:00,0.376,0.373725393
2024-08-25 23:07:10+00:00,0.376,0.373695968
2024-08-25 23:07:20+00:00,0.376,0.373666548
2024-08-25 23:07:30+00:00,0.376,0.373637134
2024-08-25 23:07:40+00:00,0.376,0.373607725
2024-08-25 23:07:50+00:00,0.376,0.373578322
2024-08-25 23:08:00+00:00,0.376,0.373548925
2024-08-25 23:08:10+00:00,0.376,0.373519533
2024-08-25 23:08:20+00:00,0.376,0.373490147
2024-08-25 23:08:30+00:00,0.376,0.373460767
2024-08-25 23:08:40+00:00,0.376,0.373431393
2024-08-25 23:08:50+00:00,0.376,0.373402023
2024-08-25 23:09:00+00:00,0.376,0.37337266
2024-08-25 23:09:10+00:00,0.376,0.373343302
2024-08-25 23:09:20+00:00,0.376,0.37331395
2024-08-25 23:09:30+00:00,0.376,0.373284604
2024-08-25 23:09:40+00:00,0.376,0.373255263
2024-08-25 23:09:50+00:00,0.376,0.373225927
2024-08-25 23:10:00+00:00,0.376,0.373196597
2024-08-25 23:10:10+00:00,0.376,0.373167273
2024-08-25 23:10:20+00:00,0.376,0.373137955
2024-08-25 23:10:30+00:00,0.376,0.373108642
2024-08-25 23:10:40+00:00,0.376,0.373079334
2024-08-25 23:10:50+00:00,0.376,0.373050032
2024-08-25 23:11:00+00:00,0.376,0.373020736
2024-08-25 23:11:10+00:00,0.376,0.372991445
2024-08-25 23:11:20+00:00,0.376,0.37296216
2024-08-25 23:11:30+00:00,0.376,0.372932881
2024-08-25 23:11:40+00:00,0.376,0.372903607
2024-08-25 23:11:50+00:00,0.376,0.372874338
2024-08-25 23:12:00+00:00,0.376,0.372845075
2024-08-25 23:12:10+00:00,0.376,0.372815818
2024-08-25 23:12:20+00:00,0.376,0.372786566
2024-08-25 23:12:30+00:00,0.376,0.37275732
2024-08-25 23:12:40+00:00,0.376,0.37272808
2024-08-25 23:12:50+00:00,0.376,0.372698845
2024-08-25 23:13:00+00:00,0.376,0.372669615
2024-08-25 23:13:10+00:00,0.376,0.372640392
2024-08-25 23:13:20+00:00,0.376,0.372611173
